filename,left_image,right_image,overall_description,is_text_in_left_image,is_text_in_right_image,are_images_connected,difficulty_in_understanding
20240101_173119.jpg,"two happy people, where one of them is petting a cat sitting on a table, with a label ""Blue Cat"" written on the tabel.","a worried person with hands on her head looking at a table with the label ""Russian Blue Cat"", while another angry person seems to be throwing away a cat.","The image is confusing, as initially, when the label reads ""Blue Cat"", the people are happy and are petting tha cat, but as soon as one of them realizes that the entire text reads ""Russian Blue Cat"", they seem to worried, and one of them throws away the cat. For some reason, the word ""Russian"" is a trigger word for them.",TRUE,TRUE,,MEDIUM
20240101_173927.jpg,an apparently rich person walking inside the airport with luggage.,a person sleeping on the floor of an airport with luggage due to a delayed flight and absence of vacant seats in the airport.,"The image is ironical, as an apparently rich person walks inside the airport with luggage, but has to sleep on the floor  due to the flight being delayed and an absence of vacant seats in the airport.",,TRUE,,EASY
20240101_174237.jpg,red traffic light for stopping a person from crossing the street.,"a red traffic light at a zebra crossing, with no persons or vehicles around.","The image is funny, as the traffic light for pedestrains is red, even though it is at a zebra crossing, which does not need a red light for stopping a pedestrain from crossing. Also, there are no people or vehicles around, which makes the image even funnier.",,,,MEDIUM
20240101_175847.jpg,a pair of scissors,"a pair of scissors inside a packaging, with a marking at the top showing that you would need to open it using a pair of scissors.","the image is funny, as the marking at the top of the packaging shows that you would need a pair of scissors to in-turn cut open the pair of scissors that is inside the packaging.",,,,EASY
20240101_181411.jpg,a person with hair dyed blue.,a group of people having hair dyed in different colors.,"The image is funny, as one person with a hair dyed blue seems to symbolize that the person is going against the grain, however, when we zoom out, the group of people have hair dyed in several, different colors, showing that, dyeing hair is the new normal.",,,,EASY
20240101_175107.jpg,an apparently clean bathroom sink.,The touch power button shows fingerprint smudges.,"The image is funny, as the bathroom sink looks clean, but when you zoom into the touch power button, you can see fingerprint smudges.",,,,EASY
20240101_175803.jpg,a bunch of toys.,a dog holding a slipper in its mouth.,"The image is ironical, as even though the dog owner has bought toys for the dog, the dog is playing with a slipper in its mouth.",,,,EASY
20240101_175820.jpg,"a relaxation kit, with several products intended to bring calm and peace to the person using the kit.",a showering area with doors.,"The image is ironical, as the relaxation kit is meant to relax and calm down the person using it during a bath, but the showering area is an enclosed space, which might instead tense up someone, especially if the person is claustrophobic.",TRUE,,,EASY
20240101_172354.jpg,"a t-shirt with ""Fight Club"" written on it (referring to the movie), along with a dialogue from the movie that says ""We work jobs we hate, to buy sh*t we don't need"".","a person wearing a t-shirt that says ""Fight Club"", working on a computer system, with a water dispenser by the side.","The image is ironical, as the t-shirt says ""We work jobs we hate, to buy sh*t we don't need"", which is a rebellious message against the construct of office jobs. However, the person wearing the t-shirt seems to be working in an office environment. Also, the t-shirt might have been bought using the money earned via the very same job.",TRUE,TRUE,,HARD
20240101_173813.jpg,an ergonomic chair.,a person sitting on a ergonomic chair with a bent spine.,"The image is ironical, as even though the ergonomic chair is meant to facilitate an upright and comfortable posture for the person sitting on it, the person sitting on it still has a bent posture, as the person is not utilizing the backrest.",,,,EASY
20240101_174241.jpg,a person flexing his shoes collection,a person not able to net a basketball even with a low height net,"The image is ironic, because even when the person has a large collection of shoes even then he is not able to basket a ball in a small height net",,,,EASY
20240101_174719.jpg,a grey pigeon flying in the sky,a grey pigeon walking under a car,"The image is ironic, because even when the pigeon has wings to fly it is walking even when it seems threatening to its life",,,,EASY
20240101_172357.jpg,The image shows the living area in a home. The room has a big TV hanging on the wall.,The image shows the living area in a home. The room has a big TV hanging on the wall playing a movie. The movie is not using the entire screen and top and bottom areas of the screen is unused.,"The image is funny because while the room has a big TV with a big screen, the movie being played on it does not use the entire screen.",,,,MEDIUM
Screenshot_2024-01-01-18-15-32-614_com.twitter.android-edit.jpg,"a statue with a smile, extending its hands to one side probably directing to some path","a statue with a smile, extending its hands to one side probably directing to some path guiding at the wrong side of the road maybe unintentionally misplaced","The image is ironic, because in the first image a statue is shown with smiling face pointing in some direction but in the second image the same statue is seen as pointing at the wrong path which can cause accidents that too with the smiling face",,,,EASY
20240101_173135.jpg,a pin being pulled off from a multi pin plug socket,the multi pin plug is getting pulled off from the plug,"The image is ironic, because some person is trying to plug out one pin from the multi pin plug but due to tight fitting the multi pin plug socket itself is getting pulled off disconnecting the power supply to other devices even when it is not required",,,,EASY
20240101_173518.jpg,"a video of 4 mins 50 secs on the internet titled ""Life Saving First Aid"".","The first ad of 30 secs of 2 ads, showing a burger, with a sign that says ""Try Now"".","The image is ironical, as when watching a video of 4 mins 50 secs on ""Life Saving First Aid"", you have to see two ads, the first of which is a lengthy ad of 30 secs, and is a Burger Commercial, which is harmful for health and life, contradictory to the original video.",TRUE,TRUE,,MEDIUM
20240101_173936.jpg,"The image shows a playlist named ""music I love"" with a green play button. There is also an icon of yellow heart with purple background.",The image shows the next button being pressed on a music application with only a few seconds into the current music.,"The image is funny because while the playlist is labelled ""music I love"" indicating that all the music in the playlist is very well liked by the user but the user is pressing play next button after listening to a few seconds of one of the audios in the playlist.",TRUE,,,EASY
20240101_172414.jpg,"A person wearing a yellow jacket, with snow falling around him. They look like they are feeling cold as their jacket is covering half their face.","A person wearing torn up trousers, standing in an area with snowfall. They are also wearing boots and a jacket.","This is funny because on the one hand this person is feeling very cold and has his jacket all the way up to his face, but on the other hand his trousers are torn which kind of makes the jacket redundant.",,,,EASY
20240101_174813.jpg,a woman inside a cafe enjoying a cup of some hot drink while doing her work on a laptop and watching outside through the window,"a person at some cafe, while looking at an act of slavery outside through the window","The image is ironic, because in the first image a woman is seen enjoying her coffee, while watching the injustice happening outside without even having a single thought on the injustice outside and taking some actions or raising some concerns over it",TRUE,,,EASY
20240101_175217.jpg,a woman posing for a photo on a sea trip on how she is enjoying the trip,a woman in a photo on a sea trip shown how she is feeling sick over the trip,"The image is ironic, because in the first image the woman is showing how she is enjoying the sea trip but whereas the second image shows how she is struggling over the trip due to sea sickness which brings up a contrast comparison between the two photos",TRUE,TRUE,,EASY
20240101_175730.jpg,There is a cup of soup.,Vegetables that are left.,"when we drink the whole soup, then  it is very healthy. But people eliminate some things which they don't like.",,,,HARD
20240101_173159.jpg,It is a garbage bin,It is a human hand sticking chewing gum on public property,"The images are ironic because even though garbage bins are provided for humans to dispose waste, by habit humans still choose to make surroundings dirty by disposing garbage improperly",,,,EASY
20240101_181422.jpg,A person sitting in a chair in a beach by the sea shore while working on a laptop.,"Low charge of battery, showing 3% charge, and an estimated time of 2 minutes remaining until the device switches off due to lack of battery charge.","The image is ironical, as a person is working on a laptop in a beach, which looks like a soothing and calm environment to work. However, the laptop is about to get discharged, and there is probably no electric supply to keep the laptop open while working on the beach, turning the situation into an inconvenience.",,TRUE,,EASY
20240101_175738.jpg,a person feeling proud after looking at the profit in his stocks investment,a graph representing loss in some stocks,"The image is ironic, because a person is seen feeling proud over the profit earned over his investment but the right image shows the whole story how only a small part of his investment journey is shown and the other loss part is ignored",,,,EASY
20240101_174218.jpg,It is a warranty sticker being removed with a screwdriver,It is an user sticking multiple stickers on their laptop,"The images are funny since it shows how an user chooses to remove a rather important warranty sticker because it does not look good, but chooses to fill his laptop with useless stickers just to decorate the laptop",TRUE,,,EASY
20240101_180515.jpg,a waiter bringing some dish with some stylish posture to the table,a dish with only sauce or some cream with a very small piece to eat,"The image is ironic, because  in the first image the waiter is bringing the dish to the table presenting it as some lavish dish but in the second image when the dish is shown in the plate its just a small piece to eat",,,,EASY
